"",">=0.001",">=1e-04",">=1e-05"
"mean_values",0.498778066961656,3.06321435470651,5.2128973605878
"2.5%",0.00684748814476514,0.00851330012706721,1.54420805922708
"50%",0.0157366656417568,1.3429764313664,5.72088183742057
"97.5%",1.67264282037313,8.1050847358531,7.85830208203955
