"",">=0.001",">=1e-04",">=1e-05"
"mean_values",0.0369316536930383,1.61228723959496,4.45602557518578
"2.5%",0,0,0
"50%",0,0,0.225032789033873
"97.5%",0.256440718355886,5.7212691837535,18.5240765983801
