"",">=0.001",">=1e-04",">=1e-05"
"mean_values",0.287859649407126,0.519242934823644,0.524146881029043
"2.5%",0,0,0
"50%",0,0,0.00886024595344479
"97.5%",1.50057051106474,1.91583048367777,1.91758474344785
