,>=0.001,>=1e-04,>=1e-05
mean_values,6.848726482,15.40817976,22.90221881
2.50%,3.499563795,7.283191185,13.11368077
50%,6.028988269,11.34797523,21.62526171
97.50%,13.29782666,35.84385971,38.84629178
