,>=0.001,>=1e-04,>=1e-05
mean_values,3.690290904,9.221113421,13.14755215
2.50%,0.03335544,2.057611142,1.094869369
50%,1.898820794,11.90222561,13.13364888
97.50%,12.13085556,14.908714,27.95220595
