,>=0.001,>=1e-04,>=1e-05
mean_values,0.39015072,1.285673466,1.630413567
2.50%,0,0,0
50%,4.22E-05,0.088843076,1.682958049
97.50%,2.504045081,7.300086614,4.69851793
