"",">=0.001",">=1e-04",">=1e-05"
"mean_values",24.546604216308,23.0850734305633,19.033944532136
"2.5%",10.2725621658416,17.0713797854523,15.6032580706983
"50%",20.2200485300038,22.5358693408932,18.9113636269265
"97.5%",45.3440891184951,29.4008933008388,22.2452416065152
