"",">=0.001",">=1e-04",">=1e-05"
"mean_values",0.00520567696511897,1.03174403493659,6.93640606861482
"2.5%",0,0,0
"50%",0,0,0
"97.5%",0,8.09734421757374,50.9456570514054
