"",">=0.001",">=1e-04",">=1e-05"
"mean_values",0.00631504188797792,0.215394195922771,2.09175085581922
"2.5%",0,0,0
"50%",0,0,0.0959455621286106
"97.5%",0,1.52971745522451,11.6737345466687
