,>=0.001,>=1e-04,>=1e-05
mean_values,0.761583689,2.257467577,3.830089381
2.50%,0.007458569,0.586337251,1.06903946
50%,0.468016346,1.71773506,3.288739891
97.50%,1.8564487,5.05764482,6.943578386
