"",">=0.001",">=1e-04",">=1e-05"
"mean_values",0.00344500690719472,0.527810292261136,19.010387689696
"2.5%",0,0,0
"50%",0,0,0
"97.5%",0.0352545337502976,3.8623493138104,98.1907872643304
