"",">=0.001",">=1e-04",">=1e-05"
"mean_values",0.00246836562534854,0.023599830841787,0.130547600985797
"2.5%",0,0,0
"50%",0,0,0.00285883460525058
"97.5%",0.00676779410543957,0.0859780401717133,0.994887178317967
