,>=0.001,>=1e-04,>=1e-05
mean_values,0.988464214,9.880315295,21.05830196
2.50%,0,0.154733969,2.919828949
50%,1.189936612,10.58537784,25.67080321
97.50%,2.555483623,25.10987028,29.26937589
