"location_id","region","locationPeriod_id","admin_level"
"10214","CT-World::AFR::BDI::BI-RY::Gisuru::Butarangira","2514","admin3"
"10215","CT-World::AFR::BDI::BI-MU::Kiganda::Renga","1929","admin3"
"10216","CT-World::AFR::BDI::BI-KR::Buhiga::Gasenyi","2405","admin3"
"10217","CT-World::AFR::BDI::BI-KY::Butaganzwa1::Kigarama","7831","admin3"
"10218","CT-World::AFR::MLI::ML-3::Kolondieba::Kadiana::Kadiana","3365","admin4"
"10219","CT-World::AFR::BDI::BI-MU::Kiganda::Musongati","10257","admin3"
"1022","CT-World::AFR::BDI::BI-KY::Gatara::Gakenke","10441","admin3"
"10224","CT-World::EMR::YEM::Dhamar::Utmah","4933","admin2"
"10225","CT-World::AFR::BDI::BI-NG::Tangara::Bwitoyi","2154","admin3"
"10226","CT-World::EMR::PAK::Azad Kashmir::Bhimber","10634","admin2"
"10227","CT-World::AFR::BDI::BI-KI::Vumbi::Muyebe","5170","admin3"
"10228","CT-World::EMR::SOM::SO-HI::Buurweyn","1854","admin2"
"10232","CT-World::AFR::MLI::ML-3::Yorosso::Boura::Boura","10274","admin4"
"10234","CT-World::SEAR::BGD::BD-B::BD-29::MANIKCHHARI","13651","admin3"
"10235","CT-World::AFR::BDI::BI-RT::Bukemba::Ruranga","8929","admin3"
"10236","CT-World::AFR::ETH::ET-OR::KelemWellega::HawaGalan","5114","admin3"
"10237","CT-World::AFR::BDI::BI-GI::Giheta::Gihehe","1815","admin3"
"10238","CT-World::AFR::COD::Orientale::Drodro","6758","admin2"
"10239","CT-World::AFR::ZMB::ZM-08::Chingola","9682","admin2"
"1024","CT-World::AFR::BDI::BI-KY::Kabarore::Ryamukona","4598","admin3"
"10240","CT-World::EMR::PAK::PK-PB::Sargodha","2044","admin2"
"10241","CT-World::AFR::BDI::BI-MY::Gashoho::Musama","1465","admin3"
"10243","CT-World::EMR::AFG::AF-KAP::KohBand","9635","admin2"
"10244","CT-World::AFR::BDI::BI-KY::Muhanga::Nyarurambi","8375","admin3"
"10245","CT-World::AFR::BDI::BI-RY::Butaganzwa2::Rubambagire","5593","admin3"
"10246","CT-World::AFR::MRT::MR-01::Djiguenni","4683","admin2"
"10247","CT-World::EMR::YEM::YE-HU::Alluheyah","10718","admin2"
"10249","CT-World::AFR::MLI::ML-4::Bla::Yangasso::Kazangasso","9829","admin4"
"10250","CT-World::AFR::GHA::GH-TV::Adaklu-Anyigbe","6244","admin2"
"10251","CT-World::AFR::ETH::ET-GA::Nuer::Wantawo","11327","admin3"
"10252","CT-World::AFR::BDI::BI-NG::Mwumba::Gihama","8259","admin3"
"10253","CT-World::AFR::AGO::Cunene::Cahama","1947","admin2"
"10254","CT-World::AFR::ETH::ET-AM::SemenWello::Delanta","8974","admin3"
"10256","CT-World::AFR::COD::Maniema::Kabambare","1021","admin2"
"10257","CT-World::EMR::YEM::Sadah::Qatabir","9141","admin2"
"10258","CT-World::AFR::MLI::ML-3::Koutiala::MPessoba::Miena","9573","admin4"
"10259","CT-World::AFR::BDI::BI-KY::Gahombo::Kavuvuma","4055","admin3"
"1026","CT-World::EMR::AFG::AF-DAY::Miramor","6131","admin2"
"10260","CT-World::AFR::BDI::BI-KI::Ntega::Kanabugire","2650","admin3"
"10261","CT-World::AFR::MLI::ML-6::Niafunke::Soumpi::Soumpi","9194","admin4"
"10262","CT-World::AFR::CMR::Littoral::Wouri::Douala3::CitedesPalmiers","1734","admin4"
"10263","CT-World::AFR::GHA::GH-CP::AssinSouth","10271","admin2"
"10264","CT-World::AFR::GNQ::GQ-BN","9433","admin1"
"10265","CT-World::EMR::AFG::AF-KAP::Tagab","5666","admin2"
"10266","CT-World::AFR::BDI::BI-GI::Gitega::Bihanga","10034","admin3"
"10267","CT-World::EMR::YEM::Al Jawf::AlKhalq","2778","admin2"
"10268","CT-World::AFR::TGO::Kara::Kozah","8338","admin2"
"10269","CT-World::EMR::YEM::YE-HU::AlHawak","6955","admin2"
"10271","CT-World::AFR::BDI::BI-MW::Nyabihanga::Butegeye","4581","admin3"
"10272","CT-World::AFR::CMR::South-West::Fako::Buea","10687","admin3"
"10273","CT-World::AFR::BDI::BI-NG::Mwumba::Nzove","524","admin3"
"10274","CT-World::EMR::PAK::Gilgit-Baltistan::Ghanche","1058","admin2"
"10275","CT-World::AFR::MOZ::Tete::Moatize","1635","admin2"
"10276","CT-World::AFR::ETH::ET-SN::BenchMaji::MenitGoldiye","7740","admin3"
"10277","CT-World::AFR::GHA::GH-CP::UpperDenkyiraEast","2929","admin2"
"10278","CT-World::AFR::BDI::BI-NG::Busiga::NyanzaTubiri","11044","admin3"
"10279","CT-World::AFR::ETH::ET-GA::Agnuak::Dima","6208","admin3"
"1028","CT-World::EMR::YEM::Dhale::Jahaf","11067","admin2"
"10280","CT-World::AFR::BDI::BI-KY::KayanzaDistrict","7452","admin2"
"10282","CT-World::EMR::AFG::AF-KAB::Farza","5018","admin2"
"10284","CT-World::EMR::AFG::AF-GHO::Taywara","5720","admin2"
"10285","CT-World::AFR::ETH::ET-AM::SemenWello::Lasta","6130","admin3"
"10286","CT-World::AFR::SEN::Fatick::Fatick::Niakhar","5911","admin3"
"10287","CT-World::AFR::BDI::BI-KY::Gahombo::Butwe","6321","admin3"
"10288","CT-World::AFR::MLI::ML-3::Yorosso::Kouri::Ourikela","9962","admin4"
"10289","CT-World::AFR::BDI::BI-GI::GitegaDistrict","6537","admin2"
"1029","CT-World::AFR::AGO::Huambo::Londuimbale","2660","admin2"
"10291","CT-World::EMR::YEM::Hajjah::Sharas","1347","admin2"
"10292","CT-World::AFR::BDI::BI-NG::Kiremba::Bunywana","2953","admin3"
"10293","CT-World::AFR::NGA::Jigawa::Buji","4032","admin2"
"10294","CT-World::EMR::YEM::Al Mahwit::AtTawilah","126","admin2"
"10295","CT-World::AFR::MDG::MG-M::Sofia::Befandriana-Nord","10772","admin3"
"10297","CT-World::AFR::MLI::ML-4::San::Dieli::Niamana-San","2524","admin4"
"10298","CT-World::AFR::BDI::BI-MU::Muramvya::Muhweza","10888","admin3"
"10299","CT-World::AFR::BDI::BI-RT::Musongati::Musagara","1764","admin3"
"103","CT-World::AFR::AGO","4446","admin0"
"1030","CT-World::AFR::CMR::South-West::Fako","12988","admin2"
"10300","CT-World::AFR::BDI::BI-RY::Gisuru::Ndemeka","1423","admin3"
"10305","CT-World::AFR::MDG::MG-F::AmoroniMania::Ambositra","5349","admin3"
"10306","CT-World::AFR::AGO::Cuanza Norte::GolungoAlto","8985","admin2"
"10307","CT-World::EMR::PAK::Balochistan::Chagai","7264","admin2"
"10309","CT-World::AFR::ETH::ET-AM::AgewAwi::GuagusaShikudad","4579","admin3"
"10311","CT-World::EMR::PAK::PK-SD::Tharparkar","10389","admin2"
"10312","CT-World::AFR::GHA::GH-CP::AwutuSenya","2121","admin2"
"10314","CT-World::EMR::PAK::Islamabad","11288","admin1"
"10315","CT-World::EMR::PAK::Islamabad::Islamabad","4664","admin2"
"10316","CT-World::AFR::BEN::BJ-DO::Ouake","11245","admin2"
"10317","CT-World::AFR::COD::Katanga::Kamalondo","4770","admin2"
"10318","CT-World::AFR::GHA::GH-EP::Akyem-Asamankese","7146","admin2"
"10319","CT-World::AFR::BDI::BI-MY::Muyinga::Nyamirambo","3368","admin3"
"1032","CT-World::EMR::SOM::SO-SH::Afgooye","2182","admin2"
"10320","CT-World::AFR::SEN::Kolda::Sedhiou::Diattacounda::Goudomp","9650","admin4"
