approved_country,approved_model,report_old_new_output,rerun_approved,github_config_repo,github_output_repo,approved_years,missing_year_reason,single_year_multiple_year,old gavi summary,updated_config_file_name,% of pop,new gavi summary
ETH,mcov,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/single_year_configs,https://github.com/HopkinsIDD/cholera-mapping-output/tree/single_year_runs,2015-2019,N/A,single,,,done,
NER,mcov,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/single_year_configs,https://github.com/HopkinsIDD/cholera-mapping-output/tree/single_year_runs,2015-2019,N/A,single,,,done,
NGA,mcov,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/single_year_configs,https://github.com/HopkinsIDD/cholera-mapping-output/tree/single_year_runs,2015-2019,N/A,single,,,done,
TZA,new OC run,new,TRUE,https://github.com/HopkinsIDD/cholera-configs/tree/master/Dec_2021_runs,https://github.com/HopkinsIDD/cholera-mapping-output/tree/2021_december_runs,2015-2019,N/A,single,,,done (removing znz),
ZNZ,non-censoring run,new,TRUE,https://github.com/HopkinsIDD/cholera-configs/tree/master/Dec_2021_runs,https://github.com/HopkinsIDD/cholera-mapping-output/tree/2021_december_runs,"2015, 2016, 2017",no obs,multiple ,,,done,
CIV,review reports,new,TRUE,https://github.com/HopkinsIDD/cholera-configs/tree/master/Dec_2021_runs,https://github.com/HopkinsIDD/cholera-mapping-output/tree/2021_december_runs,2015-2019,N/A,multiple ,,,done,
SDN,review reports,new,TRUE,https://github.com/HopkinsIDD/cholera-configs/tree/master/Dec_2021_runs,https://github.com/HopkinsIDD/cholera-mapping-output/tree/2021_december_runs,"2016, 2018, 2019","no obs for 2015, invalid est for 2017",single,,,done,
BFA,summer baseline runs,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/2015_2019_full_base,https://github.com/HopkinsIDD/cholera-mapping-output/tree/gavi_submission,2015-2019,N/A,multiple ,,,done,
LBR,summer baseline runs,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/2015_2019_full_base,https://github.com/HopkinsIDD/cholera-mapping-output/tree/gavi_submission,2015-2019,N/A,multiple ,,,done,
MLI,summer baseline runs,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/2015_2019_full_base,https://github.com/HopkinsIDD/cholera-mapping-output/tree/gavi_submission,2015-2019,N/A,multiple ,,,done,
MRT,summer baseline runs,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/2015_2019_full_base,https://github.com/HopkinsIDD/cholera-mapping-output/tree/gavi_submission,"2015, 2016, 2017, 2018",no obs,multiple ,,,done,
RWA,summer baseline runs,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/2015_2019_full_base,https://github.com/HopkinsIDD/cholera-mapping-output/tree/gavi_submission,"2016, 2017, 2018",no obs,multiple ,,,done,
SEN,summer baseline runs,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/2015_2019_full_base,https://github.com/HopkinsIDD/cholera-mapping-output/tree/gavi_submission,"2016, 2017",no obs,multiple ,,,done,
SLE,summer baseline runs,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/2015_2019_full_base,https://github.com/HopkinsIDD/cholera-mapping-output/tree/gavi_submission,2015-2019,N/A,multiple ,,,done,
TGO,summer baseline runs,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/2015_2019_full_base,https://github.com/HopkinsIDD/cholera-mapping-output/tree/gavi_submission,2015-2019,N/A,multiple ,,,done,
GIN,summer baseline runs/could rerun,old,N/A,https://github.com/HopkinsIDD/cholera-configs/tree/master/2015_2019_full_base,https://github.com/HopkinsIDD/cholera-mapping-output/tree/gavi_submission,2015-2019,N/A,multiple ,,,done,
GHA,tfrac=1 runs,new,TRUE,https://github.com/HopkinsIDD/cholera-configs/tree/master/Dec_2021_runs,https://github.com/HopkinsIDD/cholera-mapping-output/tree/2021_december_runs,2015-2019,N/A,multiple ,,,done,
